START,COUNTRY,ISO,TYPE,VALUE,DIRECTION,,
country,Myanmar (oil and gas),MMR,O&G,,,,
,Company payment disclosure,,,77,Up,,
,EIA / SIA rule,,,100,Up,,
country,Ghana (mining),GHA,M,,,,
,Historical contract disclosure,,,0,No change,,
,Company payment disclosure ,,,100,Up,,
,Revenues shared disclosure,,,20,Down,,
country,Philippines,PHL,M,,,,
,Historical contract disclosure,,,50,Up,,
,Company payment disclosure ,,,100,Up,,
,EIA / SIA disclosure,,,0,No change,,
,SOE audit,,,100,Up,,
,Revenues shared disclosure,,,100,Up,,
country,Bolivia,BOL,O&G,,,,
,Historical contract disclosure,,,50,No change,,
,Company payment disclosure ,,,50,Up,,
,EIA / SIA disclosure,,,0,No change,,
,SOE annual report disclosure,,,100,Up,,
country,Tanzania (mining),TZA,M,,,,
,Contract disclosure,,,0,No change,,
,Company payment disclosure ,,,73,Up,,
,SOE annual report disclosure,,,N/A,No change,,
country,Indonesia (oil and gas),IDN,O&G,,,,
,Contract disclosure,,,0,No change,,
,Company payment disclosure,,,100,Up,,
,Subnational resource revenue sharing disclosure,,,67,Up,,
country,Mexico (oil and gas),MEX,O&G,,,,
,Contract disclosure,,,100,Up,,
,Company payment disclosure,,,50,Up,,
,Revenues shared disclosure,,,100,Up,,
country,DRC (mining),COD,M,,,,
,Contract disclosure,,,50  ,No change,,
,Company payment disclosure ,,,100,Up  ,,
,SOE annual report disclosure,,,0,Down  ,,
,Revenue sharing disclosure,,,20,No change,,
country,Colombia (oil and gas),COL,O&G,,,,
,Company payment disclosure,,,100,Up,,
,Historical contract disclosure,,,50,No change,,
,EIA/SIA disclosure,,,0,Down,,
country,United Kingdom,GBR,O&G,,,,
,Historical contract disclosure,,,50,Down,,
,Payment disclosure,,,100,Up,,
country,Iraq,IRQ,O&G,,,,
,Company payment disclosure,,,100,Up,,
,EIA / SIA disclosure,,,50,Up,,
,SOE audit,,,0,Down,,
,Revenues shared disclosure,,,100,Up,,
