Type,Law/Practice,Number,Element name,UNIT,SOURCE,Question,Question label,ZERO (A),ONE (B),TWO (C),THREE (D),FOUR (E),FIVE (F),SIX (G),POLARITY,SCORING_SYSTEM,SCORE_PARAM_A,SCORE_PARAM_B,SCORE_PARAM_C,SCORE_PARAM_D,SCORE_PARAM_E,SCORE_PARAM_F,SCORE_PARAM_G,DATA_TYPE,DP,VALID_MIN,VALID_MAX,PRE_ROUND,INTERNAL NOTES,Component,Sub-component,Indicator
COMPOSITE,,,COMPOSITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPONENT,,1,Value extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUB-COMPONENT,,1,Licensing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDICATOR,,1,Reserves disclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Practice,2,,Qualitative rating A-F where A=best,NRGI research,Does the government publicly disclose data on extractive resource reserves?,Reserves volume disclosure,"Yes, at the project level.","Yes, in the aggregate.","No, the government does not publicly disclose data on the stock of extractive resource reserves.",Not applicable/Other.,,,,High=good,multiple choice,100,80,0,.,.,.,.,,,,,,,1,1,1
QUESTION,Practice,3,,Qualitative rating A-F where A=best,NRGI research,How up-to-date is the publicly disclosed data on extractive resource reserves?,Reserves disclosure timeliness,The most recent publicly available data covers 2015 or 2016.,"The most recent publicly available data covers 2012, 2013 or 2014.",The most recent publicly available data covers 2011 or earlier years.,The government does not publicly disclose this data.,Not applicable/Other.,,,High=good,multiple choice,100,80,20,0,.,.,.,,,,,,,1,1,1
QUESTION,Practice,4,,Qualitative rating A-F where A=best,NRGI research,Is the data disclosed on extractive resource reserves machine-readable?,Reserves disclosure machine-readability,The data is available via an API that is accompanied by a landing page and associated documentation.,"The data is available in a non-proprietary machine-readable format (e.g. CSV, TSV or JSON).",The data is available in a proprietary machine-readable format (e.g. Access or XLS).,The data is available in a text-based format (e.g. PDF or Word).,The government does not publicly disclose data on extractive resource reserves in digital format.,The government does not publicly disclose this data.,Not applicable/Other.,High=good,multiple choice,100,90,80,50,0,0,.,,,,,,,1,1,1
INDICATOR,,2,Cadastre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Practice,169,,Qualitative rating A-F where A=best,NRGI research,Does a government agency maintain a publicly available registry of rights and license details (i.e. a cadastre)?,Cadastre coverage,"Yes, the registry contains at least the following information:
- Name of license holder 
- Coordinates 
- Date/year of application and award 
- Duration 
- Type of license 
- Names of companies that hold an interest in the block","Yes, the registry contains at least the following information:
- Name of license holder 
- Coordinates 
- Date/year of application and award 
- Type of license 
","Yes, the registry contains at least the following information:
- Name of license holder 
- Coordinates
",No registry of licenses/contracts exists.,Not applicable/Other.,,,High=good,multiple choice,100,50,20,0,.,.,.,,,,,,,1,1,2
QUESTION,Practice,45,,Qualitative rating A-F where A=best,NRGI research,"Is the publicly available registry of licenses/contracts available online, offline or in paper?",Cadastre platform,A government agency maintains a publicly available registry of license details online.,"A government agency maintains a publicly available registry of license details in digital format, but offline.",A government agency maintains a publicly available registry of license details in paper format only.,No registry of licenses/contracts exists.,Not applicable/Other.,,,High=good,multiple choice,100,50,20,0,.,.,.,,,,,,,1,1,2
QUESTION,Practice,46,,Qualitative rating A-F where A=best,NRGI research,Does the publicly available registry of licenses/contracts cover areas/blocks?,Cadastre block coverage,"Yes, the registry includes information on both assigned and unassigned areas/blocks.","No, the registry excludes information on unassigned areas/blocks.","No, the registry contains no information on areas/blocks.",No registry of licenses/contracts exists.,Not applicable/Other.,,,High=good,multiple choice,100,50,0,0,.,.,.,,,,,,,1,1,2
QUESTION,Practice,47,,Qualitative rating A-F where A=best,NRGI research,Does the publicly available registry of licenses/contracts give the names of companies that hold an interest in a given area/block?,Cadastre interest holders,"Yes, the registry gives the names of all companies holding an interest in areas/blocks.","Yes, the registry gives the names for companies holding a majority interest in areas/blocks.","Yes, the registry gives the names for companies holding a minority interest in areas/blocks.","No, the registry does not give the names of companies that hold an interest in areas/blocks.",No registry of licenses/contracts exists.,Not applicable/Other.,,High=good,multiple choice,100,50,0,0,0,.,.,,,,,,,1,1,2
INDICATOR,,3,Pre-licensing round rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
